FunctionCode,Address,Type,Size,ParamName,Scale,Description,ModelSim
4,5001,u16,16,yc0,10,额定有功功率(kW) 系数0.1(阳光电源逆变器 FC 0x04),0
4,5009,u32,32,yc1,1,总视在功率(VA)(阳光电源逆变器 FC 0x04),0
4,5011,u16,16,yc2,10,MPPT1电压(V) 系数0.1(阳光电源逆变器 FC 0x04),0
4,5012,u16,16,yc3,10,MPPT1电流(A) 系数0.1(阳光电源逆变器 FC 0x04),0
4,5013,u16,16,yc4,10,MPPT2电压(V) 系数0.1(阳光电源逆变器 FC 0x04),0
4,5014,u16,16,yc5,10,MPPT2电流(A) 系数0.1(阳光电源逆变器 FC 0x04),0
4,5015,u16,16,yc6,10,MPPT3电压(V) 系数0.1(阳光电源逆变器 FC 0x04),0
4,5016,u16,16,yc7,10,MPPT3电流(A) 系数0.1(阳光电源逆变器 FC 0x04),0
4,5019,u16,16,yc8,10,Uab线电压(V) 系数0.1(阳光电源逆变器 FC 0x04),0
4,5020,u16,16,yc9,10,Ubc线电压(V) 系数0.1(阳光电源逆变器 FC 0x04),0
4,5021,u16,16,yc10,10,Uca线电压(V) 系数0.1(阳光电源逆变器 FC 0x04),0
4,5022,u16,16,yc11,10,Ia相电流(A) 系数0.1(阳光电源逆变器 FC 0x04),0
4,5023,u16,16,yc12,10,Ib相电流(A) 系数0.1(阳光电源逆变器 FC 0x04),0
4,5024,u16,16,yc13,10,Ic相电流(A) 系数0.1(阳光电源逆变器 FC 0x04),0
4,5031,int32,32,yc14,1,总有功功率(W)(阳光电源逆变器 FC 0x04),0
4,5033,int32,32,yc15,1,总无功功率(var)(阳光电源逆变器 FC 0x04),0
4,5035,int16,16,yc16,1000,功率因数 系数0.001(阳光电源逆变器 FC 0x04),0
4,5036,u16,16,yc17,10,电网频率(Hz) 系数0.1(阳光电源逆变器 FC 0x04),0
4,5038,u16,16,yc18,1,工作状态(阳光电源逆变器 FC 0x04),0
4,5045,u16,16,yc19,1,故障/告警码1(阳光电源逆变器 FC 0x04),0
4,5049,u16,16,yc20,10,额定无功功率(kVar) 系数0.1(阳光电源逆变器 FC 0x04),0
4,5077,int32,32,yc21,1,(只读)有功功率调节设置点(W)(阳光电源逆变器 FC 0x04),0
4,5079,int32,32,yc22,1,(只读)无功功率调节设置点(var)(阳光电源逆变器 FC 0x04),0
4,5115,u16,16,yc23,10,MPPT4电压(V) 系数0.1(阳光电源逆变器 FC 0x04),0
4,5116,u16,16,yc24,10,MPPT4电流(A) 系数0.1(阳光电源逆变器 FC 0x04),0
4,5117,u16,16,yc25,10,MPPT5电压(V) 系数0.1(阳光电源逆变器 FC 0x04),0
4,5118,u16,16,yc26,10,MPPT5电流(A) 系数0.1(阳光电源逆变器 FC 0x04),0
4,5119,u16,16,yc27,10,MPPT6电压(V) 系数0.1(阳光电源逆变器 FC 0x04),0
4,5120,u16,16,yc28,10,MPPT6电流(A) 系数0.1(阳光电源逆变器 FC 0x04),0
4,5194,u16,16,yc29,1,预留1(阳光电源逆变器 FC 0x04),0
4,5195,u16,16,yc30,1,预留2(阳光电源逆变器 FC 0x04),0
6,5006,u16,16,yk0,1,开机/关机设置点(阳光电源逆变器 保持寄存器 读0x03 写0x06/0x10),0
6,5039,u16,16,yt0,10,有功功率限制调节设置点 系数0.1(阳光电源逆变器 保持寄存器 读0x03 写0x06/0x10),0
6,5040,int16,16,yt1,10,无功功率调节设置点 系数0.1(阳光电源逆变器 保持寄存器 读0x03 写0x06/0x10),0
